row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
698,2275,674235.0,3027165.0,3476,36.15563,225.46205,0.0013888889,9.062057,3,0
674,672,626145.0,3027885.0,1918,26.259827,164.32047,0.010555555,11.728421,1,1
924,2284,674505.0,3020385.0,2350,44.81428,197.82706,-0.0069444445,7.5020247,3,1
215,1679,656355.0,3041655.0,2632,34.846405,11.040939,-0.0011111111,8.9562435,1,0
880,2244,673305.0,3021705.0,2803,24.13187,198.43495,0.013888889,13.508014,3,1
93,1629,654855.0,3045315.0,1096,29.538782,0.0,0.004166667,9.768274,1,0
758,684,626505.0,3025365.0,1580,19.595737,249.44395,-0.0044444446,7.835219,1,1
812,1189,641655.0,3023745.0,1512,42.3086,139.4556,-0.005,8.282775,2,1
817,915,633435.0,3023595.0,2220,13.166321,274.08563,-0.01,8.255137,2,0
277,1113,639375.0,3039795.0,3239,37.493332,110.00969,-0.003888889,7.7606254,1,0
918,2315,675435.0,3020565.0,2852,34.87333,221.12148,0.0055555557,9.360707,3,1
565,1451,649515.0,3031155.0,641,46.844555,141.02557,-0.004722222,7.4311104,1,1
25,1395,647835.0,3047355.0,1324,40.032146,169.13594,0.0058333334,9.461588,1,1
19,1405,648135.0,3047535.0,1635,55.34763,161.35632,-0.011666667,7.5316863,1,1
918,865,631935.0,3020565.0,1144,26.973715,230.31454,0.004722222,8.8640995,1,1
35,1388,647625.0,3047055.0,1083,36.112972,171.12946,0.0016666667,9.756766,1,1
676,286,614565.0,3027825.0,3322,24.434134,268.42346,-0.004722222,8.284454,1,0
33,1392,647745.0,3047115.0,1121,37.2805,174.97592,-0.0025,10.1197,1,1
46,1405,648135.0,3046725.0,860,5.0062823,92.72631,0.008611111,17.3039,1,1
781,1053,637575.0,3024675.0,3088,25.75761,36.573032,0.0063888887,9.477066,2,0
704,1971,665115.0,3026985.0,1729,17.981998,209.19748,0.010555555,11.777789,1,1
536,1980,665385.0,3032025.0,2323,23.124304,197.02052,0.0033333334,10.2923355,1,1
1004,746,628365.0,3017985.0,1464,11.976726,225.0,0.0,9.739236,1,0
870,2244,673305.0,3022005.0,3081,61.41439,177.39743,-0.01,8.141137,3,1
37,1244,643305.0,3046995.0,1696,46.348885,356.12534,-0.00055555557,8.141586,1,0
128,831,630915.0,3044265.0,3761,48.23902,214.69516,-0.011944445,7.3822374,1,0
761,669,626055.0,3025275.0,1357,24.821426,259.09497,-0.00055555557,10.792338,1,1
807,660,625785.0,3023895.0,1096,42.12156,180.79205,0.0175,8.848951,1,1
39,1401,648015.0,3046935.0,981,33.234444,183.28088,0.00055555557,11.009337,1,1
610,1978,665325.0,3029805.0,2873,27.061962,307.71106,0.003611111,8.860293,1,1
367,1579,653355.0,3037095.0,1898,15.612828,20.056091,0.004166667,11.6037,1,0
610,842,631245.0,3029805.0,1287,51.613277,165.2757,0.0016666667,8.361229,2,1
1078,984,635505.0,3015765.0,1843,35.886257,32.774876,0.011388889,11.057857,2,0
38,1396,647865.0,3046965.0,998,37.646053,177.83308,0.0022222223,10.280838,1,1
1001,779,629355.0,3018075.0,1660,24.809021,332.04904,0.0016666667,8.960325,1,0
